store_id,item,Proc_date,Item_Description,Size,Total_units,Total_lbs,Total_Retail_$,Total_Cost_$
104,3913116850,3/27/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,65.88,66
104,3913116850,4/24/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,95.88,66
104,3913116850,5/4/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,60,0,239.4,255
